Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Uruguay,2016,155th,Stable,3.5,2.7,2.7,3.3,4.3,4.1,1.1,3.1,2.5,4,2.2,2.7
South Korea,2016,156th,Stable,1.8,3.8,3.1,2.1,3.2,3.6,3.4,2.1,2.9,3.3,1.7,5.1
Japan,2016,157th,Stable,1.3,2.6,3.9,4.3,1.8,2.9,1.4,1.8,3.2,4.5,3.4,4
France,2016,158th,Stable,3,1.9,7,4.5,3.4,1.9,1.5,1.3,2.3,3,2.7,2
United States,2016,159th,Stable,2.9,4.3,5.1,2.5,4.5,1.4,2.1,1.8,3.4,3,2.1,0.9
Slovenia,2016,160th,Stable,1.8,1.7,4.2,4,3.6,2.8,2.9,1.7,1.7,2.5,4.5,2.5
Singapore,2016,161st,Stable,1.7,4,2.8,2.2,4,3,3.9,1.5,4.3,2.7,1.4,1.4
United Kingdom,2016,162nd,Stable,2.4,3.5,5.9,3.8,3.8,1.8,1.7,1.8,1.9,2.6,2.2,1
Portugal,2016,163rd,Sustainable,1.5,2.5,2.7,5,2.7,1.9,1.8,2.4,2,2.3,1.9,2.5
Belgium,2016,164th,Sustainable,1.9,3.9,4.4,4.4,2.9,1.6,1.6,1.8,1,2.2,2.1,1.2
Germany,2016,165th,Sustainable,1.8,2.3,4.8,2.4,3,1.8,1,1.3,1.3,2.2,5.7,1
Netherlands,2016,166th,Sustainable,1.7,3.1,4.4,2.9,2.4,2.3,1.5,1.2,1.1,2.7,4,0.9
Austria,2016,167th,Sustainable,1.2,2.7,4,1.9,3.1,1.2,1.1,1.3,1.4,2.1,6.1,1.4
Luxembourg,2016,168th,Sustainable,1.9,3.4,3.1,1.2,1.7,1.8,1,2.3,1,1.7,3.7,1.3
Canada,2016,169th,Sustainable,1.9,2.5,3.6,1.9,2.7,1.9,1,1.7,1.5,2.1,2,1
Iceland,2016,170th,Sustainable,1.2,1.8,1.3,3.5,1.3,2.5,1,1.4,1,1.8,1.7,4.3
Sweden,2016,171st,Sustainable,1.8,1.8,1.7,2,1.5,1.2,1,1.3,1.3,2.2,5.5,1.3
Australia,2016,172nd,Sustainable,1.8,1.7,4.1,1.8,2.4,1,1,1.7,2.5,1.5,2,1
Ireland,2016,172nd,Sustainable,1.8,1.5,1.6,3.6,2.4,2.5,1.2,1.6,1.1,1.9,1.7,1.6
Switzerland,2016,174th,Sustainable,1.3,1,3.8,2.5,2.4,1.8,1,1.1,2,1.7,2.2,1
Denmark,2016,175th,Sustainable,1.4,1.4,4.6,2.2,1.8,1.6,0.6,1.1,1.7,2.2,1.8,1.1
New Zealand,2016,176th,Sustainable,1.4,1.1,3.8,3.8,2.5,1.8,0.6,1.6,0.7,1.6,1.5,0.9
Norway,2016,177th,Sustainable,2.2,1.1,3.8,1.7,1.7,1.3,0.5,1.1,1.6,1.7,3,1.5
Finland,2016,178th,Sustainable,1.4,1.1,2,3.7,1.2,2,0.6,1,1,1.3,2.5,1
